I (422942) j1850: stats: 339 frames, 0 bad CRC, 0 overruns, 0 edges, 0 same-level
I (426689) j1850: 68 FF 40 02 C5 | CRC OK
I (426793) j1850: 48 92 40 AA FF FF 5B | CRC OK
I (426804) j1850: 48 92 40 AA FF FF 5B | CRC OK
I (426812) j1850: 68 FF 40 03 D8 | CRC OK
I (426821) j1850: 68 93 60 AA FF FF 53 | CRC OK
I (426828) j1850: 48 DA 40 39 00 70 | CRC OK
I (426834) j1850: 29 FE 40 01 64 | CRC OK
I (426843) j1850: 48 3B 40 02 29 | CRC OK
I (426853) j1850: 48 3B 40 20 94 | CRC OK
I (427046) j1850: 48 DA 40 39 00 70 | CRC OK
I (427167) j1850: 29 FE 60 01 11 | CRC OK
I (427267) j1850: 29 FE 60 01 11 | CRC OK
I (427273) j1850: 68 FF 60 03 AD | CRC OK
I (428598) j1850: 68 FF 40 03 D8 | CRC OK
I (428608) j1850: 29 FE 40 01 64 | CRC OK
I (429184) j1850: 29 FE 60 01 11 | CRC OK
I (429190) j1850: 68 FF 60 03 AD | CRC OK
I (429482) j1850: 48 DA 40 39 00 70 | CRC OK
I (430610) j1850: 48 92 40 2A 00 00 1E | CRC OK
I (430627) j1850: 68 FF 40 03 D8 | CRC OK
I (430634) j1850: 68 93 60 2A 00 00 16 | CRC OK
I (430640) j1850: 29 FE 40 01 64 | CRC OK
I (431202) j1850: 29 FE 60 01 11 | CRC OK
I (431208) j1850: 68 FF 60 03 AD | CRC OK
I (431918) j1850: 48 DA 40 39 00 70 | CRC OK
I (432658) j1850: 68 FF 40 03 D8 | CRC OK
I (432668) j1850: 29 FE 40 01 64 | CRC OK
I (432944) j1850: stats: 366 frames, 0 bad CRC, 0 overruns, 1247 edges, 1 same-level
I (433219) j1850: 29 FE 60 01 11 | CRC OK
I (433225) j1850: 68 FF 60 03 AD | CRC OK
I (434688) j1850: 68 FF 40 03 D8 | CRC OK
I (434698) j1850: 29 FE 40 01 64 | CRC OK
I (435236) j1850: 29 FE 60 01 11 | CRC OK
I (435242) j1850: 68 FF 60 03 AD | CRC OK
I (436718) j1850: 68 FF 40 03 D8 | CRC OK
I (436728) j1850: 29 FE 40 01 64 | CRC OK
I (437253) j1850: 29 FE 60 01 11 | CRC OK
I (437259) j1850: 68 FF 60 03 AD | CRC OK
I (442945) j1850: stats: 376 frames, 0 bad CRC, 0 overruns, 420 edges, 0 same-level
I (449284) j1850: 68 FF 40 02 C5 | CRC OK
I (449387) j1850: 48 92 40 AA FF FF 5B | CRC OK
I (449396) j1850: 68 FF 40 03 D8 | CRC OK
I (449405) j1850: 48 DA 40 39 00 70 | CRC OK
I (449412) j1850: 68 93 60 AA FF FF 53 | CRC OK
I (449418) j1850: 29 FE 40 01 64 | CRC OK
I (449427) j1850: 48 3B 40 02 29 | CRC OK
I (449437) j1850: 48 3B 40 20 94 | CRC OK
I (449620) j1850: 48 DA 40 39 00 70 | CRC OK
I (449855) j1850: 29 FE 60 01 11 | CRC OK
I (449904) j1850: 29 FE 60 01 11 | CRC OK
I (449911) j1850: 68 FF 60 03 AD | CRC OK
I (451192) j1850: 68 FF 40 03 D8 | CRC OK
I (451202) j1850: 29 FE 40 01 64 | CRC OK
I (451921) j1850: 29 FE 60 01 11 | CRC OK
I (451927) j1850: 68 FF 60 03 AD | CRC OK
I (452056) j1850: 48 DA 40 39 00 70 | CRC OK
I (452946) j1850: stats: 393 frames, 0 bad CRC, 0 overruns, 770 edges, 0 same-level
I (453194) j1850: 48 92 40 2A 00 00 1E | CRC OK
I (453218) j1850: 68 93 60 2A 00 00 16 | CRC OK
I (453224) j1850: 68 FF 40 03 D8 | CRC OK
I (453233) j1850: 29 FE 40 01 64 | CRC OK
I (453938) j1850: 29 FE 60 01 11 | CRC OK
I (453944) j1850: 68 FF 60 03 AD | CRC OK
I (454492) j1850: 48 DA 40 39 00 70 | CRC OK
I (455252) j1850: 68 FF 40 03 D8 | CRC OK
I (455262) j1850: 29 FE 40 01 64 | CRC OK
I (455955) j1850: 29 FE 60 01 11 | CRC OK
I (455961) j1850: 68 FF 60 03 AD | CRC OK
I (457282) j1850: 68 FF 40 03 D8 | CRC OK
I (457292) j1850: 29 FE 40 01 64 | CRC OK
I (457973) j1850: 29 FE 60 01 11 | CRC OK
I (457979) j1850: 68 FF 60 03 AD | CRC OK
I (459312) j1850: 68 FF 40 03 D8 | CRC OK
I (459322) j1850: 29 FE 40 01 64 | CRC OK
I (459990) j1850: 29 FE 60 01 11 | CRC OK
I (459997) j1850: 68 FF 60 03 AD | CRC OK
I (461342) j1850: 68 FF 40 03 D8 | CRC OK
I (461352) j1850: 29 FE 40 01 64 | CRC OK
I (462006) j1850: 29 FE 60 01 11 | CRC OK
I (462012) j1850: 68 FF 60 03 AD | CRC OK
I (462948) j1850: stats: 416 frames, 0 bad CRC, 0 overruns, 1006 edges, 0 same-level
I (463372) j1850: 68 FF 40 03 D8 | CRC OK
I (463382) j1850: 29 FE 40 01 64 | CRC OK
I (464024) j1850: 29 FE 60 01 11 | CRC OK
I (464030) j1850: 68 FF 60 03 AD | CRC OK
I (465403) j1850: 68 FF 40 03 D8 | CRC OK
I (465412) j1850: 29 FE 40 01 64 | CRC OK
