I (1238040) j1850: 29 FE 60 01 11 | CRC OK
I (1238046) j1850: 68 FF 60 03 AD | CRC OK
I (1238318) j1850: 68 FF 40 03 D8 | CRC OK
I (1238328) j1850: 29 FE 40 01 64 | CRC OK
I (1240056) j1850: 29 FE 60 01 11 | CRC OK
I (1240064) j1850: 68 FF 60 03 AD | CRC OK
I (1240349) j1850: 68 FF 40 03 D8 | CRC OK
I (1240359) j1850: 29 FE 40 01 64 | CRC OK
I (1242072) j1850: 29 FE 60 01 11 | CRC OK
I (1242078) j1850: 68 FF 60 03 AD | CRC OK
I (1242378) j1850: 68 FF 40 03 D8 | CRC OK
I (1242388) j1850: 29 FE 40 01 64 | CRC OK
I (1243066) j1850: stats: 1756 frames, 0 bad CRC, 0 overruns, 841 edges, 1 same-level
I (1244089) j1850: 29 FE 60 01 11 | CRC OK
I (1244095) j1850: 68 FF 60 03 AD | CRC OK
I (1244408) j1850: 68 FF 40 03 D8 | CRC OK
I (1244418) j1850: 29 FE 40 01 64 | CRC OK
I (1246107) j1850: 29 FE 60 01 11 | CRC OK
I (1246113) j1850: 68 FF 60 03 AD | CRC OK
I (1246438) j1850: 68 FF 40 03 D8 | CRC OK
I (1246448) j1850: 29 FE 40 01 64 | CRC OK
I (1248130) j1850: 29 FE 60 01 11 | CRC OK
I (1248136) j1850: 68 FF 60 03 AD | CRC OK
I (1248468) j1850: 68 FF 40 03 D8 | CRC OK
I (1248478) j1850: 29 FE 40 01 64 | CRC OK
I (1250141) j1850: 29 FE 60 01 11 | CRC OK
I (1250154) j1850: 68 FF 60 03 AD | CRC OK
I (1250498) j1850: 68 FF 40 03 D8 | CRC OK
I (1250508) j1850: 29 FE 40 01 64 | CRC OK
I (1252157) j1850: 29 FE 60 01 11 | CRC OK
I (1252163) j1850: 68 FF 60 03 AD | CRC OK
I (1252528) j1850: 68 FF 40 03 D8 | CRC OK
I (1252538) j1850: 29 FE 40 01 64 | CRC OK
I (1253068) j1850: stats: 1776 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (1254175) j1850: 29 FE 60 01 11 | CRC OK
I (1254181) j1850: 68 FF 60 03 AD | CRC OK
I (1254558) j1850: 68 FF 40 03 D8 | CRC OK
I (1254568) j1850: 29 FE 40 01 64 | CRC OK
I (1256192) j1850: 29 FE 60 01 11 | CRC OK
I (1256198) j1850: 68 FF 60 03 AD | CRC OK
I (1256588) j1850: 68 FF 40 03 D8 | CRC OK
I (1256598) j1850: 29 FE 40 01 64 | CRC OK
I (1258217) j1850: 68 FF 60 03 AD | CRC OK
I (1258618) j1850: 68 FF 40 03 D8 | CRC OK
I (1258628) j1850: 29 FE 40 01 64 | CRC OK
I (1260227) j1850: 29 FE 60 01 11 | CRC OK
I (1260235) j1850: 68 FF 60 03 AD | CRC OK
I (1260648) j1850: 68 FF 40 03 D8 | CRC OK
I (1260658) j1850: 29 FE 40 01 64 | CRC OK
I (1262243) j1850: 29 FE 60 01 11 | CRC OK
I (1262249) j1850: 68 FF 60 03 AD | CRC OK
I (1262678) j1850: 68 FF 40 03 D8 | CRC OK
I (1262688) j1850: 29 FE 40 01 64 | CRC OK
I (1263070) j1850: stats: 1795 frames, 0 bad CRC, 0 overruns, 841 edges, 1 same-level
I (1264260) j1850: 29 FE 60 01 11 | CRC OK
I (1264266) j1850: 68 FF 60 03 AD | CRC OK
I (1264708) j1850: 68 FF 40 03 D8 | CRC OK
I (1264718) j1850: 29 FE 40 01 64 | CRC OK
I (1266038) j1850: 48 3B 40 82 0F | CRC OK
I (1266277) j1850: 29 FE 60 01 11 | CRC OK
I (1266283) j1850: 68 FF 60 03 AD | CRC OK
I (1266738) j1850: 68 FF 40 03 D8 | CRC OK
I (1266748) j1850: 29 FE 40 01 64 | CRC OK
I (1268067) j1850: 48 3B 40 02 29 | CRC OK
I (1268302) j1850: 29 FE 60 01 11 | CRC OK
I (1268308) j1850: 68 FF 60 03 AD | CRC OK
I (1268768) j1850: 68 FF 40 03 D8 | CRC OK
I (1268778) j1850: 29 FE 40 01 64 | CRC OK
I (1270312) j1850: 29 FE 60 01 11 | CRC OK
I (1270325) j1850: 68 FF 60 03 AD | CRC OK
I (1270798) j1850: 68 FF 40 03 D8 | CRC OK
I (1270808) j1850: 29 FE 40 01 64 | CRC OK
I (1272328) j1850: 29 FE 60 01 11 | CRC OK
I (1272334) j1850: 68 FF 60 03 AD | CRC OK
I (1272828) j1850: 68 FF 40 03 D8 | CRC OK
I (1272838) j1850: 29 FE 40 01 64 | CRC OK
I (1273072) j1850: stats: 1817 frames, 0 bad CRC, 0 overruns, 924 edges, 0 same-level
I (1274345) j1850: 29 FE 60 01 11 | CRC OK
I (1274351) j1850: 68 FF 60 03 AD | CRC OK
I (1274857) j1850: 68 FF 40 03 D8 | CRC OK
I (1274867) j1850: 29 FE 40 01 64 | CRC OK
I (1276363) j1850: 29 FE 60 01 11 | CRC OK
I (1276369) j1850: 68 FF 60 03 AD | CRC OK
I (1276887) j1850: 68 FF 40 03 D8 | CRC OK
I (1276897) j1850: 29 FE 40 01 64 | CRC OK
