I (979852) j1850: 29 FE 60 01 11 | CRC OK
I (979859) j1850: 68 FF 60 03 AD | CRC OK
I (980514) j1850: 68 FF 40 03 D8 | CRC OK
I (980524) j1850: 29 FE 40 01 64 | CRC OK
I (981868) j1850: 29 FE 60 01 11 | CRC OK
I (981874) j1850: 68 FF 60 03 AD | CRC OK
I (982544) j1850: 68 FF 40 03 D8 | CRC OK
I (982554) j1850: 29 FE 40 01 64 | CRC OK
I (983028) j1850: stats: 1236 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (983886) j1850: 29 FE 60 01 11 | CRC OK
I (983892) j1850: 68 FF 60 03 AD | CRC OK
I (984574) j1850: 68 FF 40 03 D8 | CRC OK
I (984584) j1850: 29 FE 40 01 64 | CRC OK
I (985903) j1850: 29 FE 60 01 11 | CRC OK
I (985909) j1850: 68 FF 60 03 AD | CRC OK
I (986604) j1850: 68 FF 40 03 D8 | CRC OK
I (986614) j1850: 29 FE 40 01 64 | CRC OK
I (987926) j1850: 29 FE 60 01 11 | CRC OK
I (987932) j1850: 68 FF 60 03 AD | CRC OK
I (988634) j1850: 68 FF 40 03 D8 | CRC OK
I (988644) j1850: 29 FE 40 01 64 | CRC OK
I (989938) j1850: 29 FE 60 01 11 | CRC OK
I (989949) j1850: 68 FF 60 03 AD | CRC OK
I (990664) j1850: 68 FF 40 03 D8 | CRC OK
I (990674) j1850: 29 FE 40 01 64 | CRC OK
I (991954) j1850: 29 FE 60 01 11 | CRC OK
I (991960) j1850: 68 FF 60 03 AD | CRC OK
I (992694) j1850: 68 FF 40 03 D8 | CRC OK
I (992704) j1850: 29 FE 40 01 64 | CRC OK
I (993030) j1850: stats: 1256 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (993252) j1850: 48 3B 40 82 0F | CRC OK
I (993971) j1850: 29 FE 60 01 11 | CRC OK
I (993977) j1850: 68 FF 60 03 AD | CRC OK
I (994460) j1850: 48 3B 40 02 29 | CRC OK
I (994724) j1850: 68 FF 40 03 D8 | CRC OK
I (994734) j1850: 29 FE 40 01 64 | CRC OK
I (995729) j1850: 48 3B 40 82 0F | CRC OK
I (995988) j1850: 29 FE 60 01 11 | CRC OK
I (995994) j1850: 68 FF 60 03 AD | CRC OK
I (996754) j1850: 68 FF 40 03 D8 | CRC OK
I (996764) j1850: 29 FE 40 01 64 | CRC OK
I (997119) j1850: 48 3B 40 02 29 | CRC OK
I (998006) j1850: 29 FE 60 01 11 | CRC OK
I (998012) j1850: 68 FF 60 03 AD | CRC OK
I (998367) j1850: 48 3B 40 82 0F | CRC OK
I (998783) j1850: 68 FF 40 03 D8 | CRC OK
I (998793) j1850: 29 FE 40 01 64 | CRC OK
I (1000023) j1850: 29 FE 60 01 11 | CRC OK
I (1000030) j1850: 68 FF 60 03 AD | CRC OK
I (1000144) j1850: 48 3B 40 02 29 | CRC OK
I (1000814) j1850: 68 FF 40 03 D8 | CRC OK
I (1000824) j1850: 29 FE 40 01 64 | CRC OK
I (1001139) j1850: 48 3B 40 82 0F | CRC OK
I (1002040) j1850: 29 FE 60 01 11 | CRC OK
I (1002046) j1850: 68 FF 60 03 AD | CRC OK
I (1002772) j1850: 48 3B 40 02 29 | CRC OK
I (1002843) j1850: 68 FF 40 03 D8 | CRC OK
I (1002853) j1850: 29 FE 40 01 64 | CRC OK
I (1003031) j1850: stats: 1284 frames, 0 bad CRC, 0 overruns, 1176 edges, 0 same-level
I (1004057) j1850: 29 FE 60 01 11 | CRC OK
I (1004063) j1850: 68 FF 60 03 AD | CRC OK
I (1004873) j1850: 68 FF 40 03 D8 | CRC OK
I (1004883) j1850: 29 FE 40 01 64 | CRC OK
I (1006074) j1850: 29 FE 60 01 11 | CRC OK
I (1006080) j1850: 68 FF 60 03 AD | CRC OK
I (1006903) j1850: 68 FF 40 03 D8 | CRC OK
I (1006913) j1850: 29 FE 40 01 64 | CRC OK
I (1008096) j1850: 29 FE 60 01 11 | CRC OK
I (1008102) j1850: 68 FF 60 03 AD | CRC OK
I (1008933) j1850: 68 FF 40 03 D8 | CRC OK
I (1008943) j1850: 29 FE 40 01 64 | CRC OK
