I (1309367) j1850: 68 FF 40 03 D8 | CRC OK
I (1309377) j1850: 29 FE 40 01 64 | CRC OK
I (1310653) j1850: 29 FE 60 01 11 | CRC OK
I (1310659) j1850: 68 FF 60 03 AD | CRC OK
I (1311397) j1850: 68 FF 40 03 D8 | CRC OK
I (1311407) j1850: 29 FE 40 01 64 | CRC OK
I (1312670) j1850: 29 FE 60 01 11 | CRC OK
I (1312676) j1850: 68 FF 60 03 AD | CRC OK
I (1313078) j1850: stats: 1895 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (1313427) j1850: 68 FF 40 03 D8 | CRC OK
I (1313437) j1850: 29 FE 40 01 64 | CRC OK
I (1314687) j1850: 29 FE 60 01 11 | CRC OK
I (1314693) j1850: 68 FF 60 03 AD | CRC OK
I (1315457) j1850: 68 FF 40 03 D8 | CRC OK
I (1315467) j1850: 29 FE 40 01 64 | CRC OK
I (1316704) j1850: 29 FE 60 01 11 | CRC OK
I (1316710) j1850: 68 FF 60 03 AD | CRC OK
I (1317487) j1850: 68 FF 40 03 D8 | CRC OK
I (1317497) j1850: 29 FE 40 01 64 | CRC OK
I (1318725) j1850: 29 FE 60 01 11 | CRC OK
I (1318731) j1850: 68 FF 60 03 AD | CRC OK
I (1319517) j1850: 68 FF 40 03 D8 | CRC OK
I (1319527) j1850: 29 FE 40 01 64 | CRC OK
I (1320738) j1850: 29 FE 60 01 11 | CRC OK
I (1320744) j1850: 68 FF 60 03 AD | CRC OK
I (1321546) j1850: 68 FF 40 03 D8 | CRC OK
I (1321556) j1850: 29 FE 40 01 64 | CRC OK
I (1322755) j1850: 29 FE 60 01 11 | CRC OK
I (1322761) j1850: 68 FF 60 03 AD | CRC OK
I (1323079) j1850: stats: 1915 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (1323576) j1850: 68 FF 40 03 D8 | CRC OK
I (1323586) j1850: 29 FE 40 01 64 | CRC OK
I (1324773) j1850: 29 FE 60 01 11 | CRC OK
I (1324779) j1850: 68 FF 60 03 AD | CRC OK
I (1325606) j1850: 68 FF 40 03 D8 | CRC OK
I (1325617) j1850: 29 FE 40 01 64 | CRC OK
I (1326792) j1850: 29 FE 60 01 11 | CRC OK
I (1326798) j1850: 68 FF 60 03 AD | CRC OK
I (1327636) j1850: 68 FF 40 03 D8 | CRC OK
I (1327647) j1850: 29 FE 40 01 64 | CRC OK
I (1328815) j1850: 29 FE 60 01 11 | CRC OK
I (1328821) j1850: 68 FF 60 03 AD | CRC OK
I (1329666) j1850: 68 FF 40 03 D8 | CRC OK
I (1329676) j1850: 29 FE 40 01 64 | CRC OK
I (1330824) j1850: 29 FE 60 01 11 | CRC OK
I (1330830) j1850: 68 FF 60 03 AD | CRC OK
I (1331696) j1850: 68 FF 40 03 D8 | CRC OK
I (1331706) j1850: 29 FE 40 01 64 | CRC OK
I (1332840) j1850: 29 FE 60 01 11 | CRC OK
I (1332846) j1850: 68 FF 60 03 AD | CRC OK
I (1333080) j1850: stats: 1935 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (1333726) j1850: 68 FF 40 03 D8 | CRC OK
I (1333736) j1850: 29 FE 40 01 64 | CRC OK
I (1334857) j1850: 29 FE 60 01 11 | CRC OK
I (1334863) j1850: 68 FF 60 03 AD | CRC OK
I (1335756) j1850: 68 FF 40 03 D8 | CRC OK
I (1335766) j1850: 29 FE 40 01 64 | CRC OK
I (1336874) j1850: 29 FE 60 01 11 | CRC OK
I (1336880) j1850: 68 FF 60 03 AD | CRC OK
I (1337786) j1850: 68 FF 40 03 D8 | CRC OK
I (1337796) j1850: 29 FE 40 01 64 | CRC OK
