I (1451464) j1850: 68 FF 40 03 D8 | CRC OK
I (1451474) j1850: 29 FE 40 01 64 | CRC OK
I (1451847) j1850: 29 FE 60 01 11 | CRC OK
I (1451853) j1850: 68 FF 60 03 AD | CRC OK
I (1453095) j1850: stats: 2171 frames, 0 bad CRC, 0 overruns, 882 edges, 0 same-level
I (1453494) j1850: 68 FF 40 03 D8 | CRC OK
I (1453504) j1850: 29 FE 40 01 64 | CRC OK
I (1453616) j1850: 48 3B 40 02 29 | CRC OK
I (1453864) j1850: 29 FE 60 01 11 | CRC OK
I (1453870) j1850: 68 FF 60 03 AD | CRC OK
I (1455524) j1850: 68 FF 40 03 D8 | CRC OK
I (1455534) j1850: 29 FE 40 01 64 | CRC OK
I (1455881) j1850: 29 FE 60 01 11 | CRC OK
I (1455887) j1850: 68 FF 60 03 AD | CRC OK
I (1456996) j1850: 48 3B 40 82 0F | CRC OK
I (1457554) j1850: 68 FF 40 03 D8 | CRC OK
I (1457564) j1850: 29 FE 40 01 64 | CRC OK
I (1457900) j1850: 29 FE 60 01 11 | CRC OK
I (1457906) j1850: 68 FF 60 03 AD | CRC OK
I (1459584) j1850: 68 FF 40 03 D8 | CRC OK
I (1459594) j1850: 29 FE 40 01 64 | CRC OK
I (1459916) j1850: 29 FE 60 01 11 | CRC OK
I (1459924) j1850: 68 FF 60 03 AD | CRC OK
I (1461613) j1850: 68 FF 40 03 D8 | CRC OK
I (1461623) j1850: 29 FE 40 01 64 | CRC OK
I (1461932) j1850: 29 FE 60 01 11 | CRC OK
I (1461938) j1850: 68 FF 60 03 AD | CRC OK
I (1463096) j1850: stats: 2193 frames, 0 bad CRC, 0 overruns, 924 edges, 0 same-level
I (1463643) j1850: 68 FF 40 03 D8 | CRC OK
I (1463653) j1850: 29 FE 40 01 64 | CRC OK
I (1463949) j1850: 29 FE 60 01 11 | CRC OK
I (1463955) j1850: 68 FF 60 03 AD | CRC OK
I (1464283) j1850: 48 3B 40 02 29 | CRC OK
I (1465673) j1850: 68 FF 40 03 D8 | CRC OK
I (1465684) j1850: 29 FE 40 01 64 | CRC OK
I (1465966) j1850: 29 FE 60 01 11 | CRC OK
I (1465972) j1850: 68 FF 60 03 AD | CRC OK
I (1467145) j1850: 48 3B 40 82 0F | CRC OK
I (1467703) j1850: 68 FF 40 03 D8 | CRC OK
I (1467714) j1850: 29 FE 40 01 64 | CRC OK
I (1467990) j1850: 29 FE 60 01 11 | CRC OK
I (1467996) j1850: 68 FF 60 03 AD | CRC OK
I (1469733) j1850: 68 FF 40 03 D8 | CRC OK
I (1469744) j1850: 29 FE 40 01 64 | CRC OK
I (1470001) j1850: 29 FE 60 01 11 | CRC OK
I (1470015) j1850: 68 FF 60 03 AD | CRC OK
I (1471763) j1850: 68 FF 40 03 D8 | CRC OK
I (1471773) j1850: 29 FE 40 01 64 | CRC OK
I (1472017) j1850: 29 FE 60 01 11 | CRC OK
I (1472023) j1850: 68 FF 60 03 AD | CRC OK
I (1472596) j1850: 48 3B 40 02 29 | CRC OK
I (1473098) j1850: stats: 2216 frames, 0 bad CRC, 0 overruns, 966 edges, 0 same-level
I (1473793) j1850: 68 FF 40 03 D8 | CRC OK
I (1473803) j1850: 29 FE 40 01 64 | CRC OK
I (1474034) j1850: 29 FE 60 01 11 | CRC OK
I (1474040) j1850: 68 FF 60 03 AD | CRC OK
I (1474991) j1850: 48 3B 40 82 0F | CRC OK
I (1475823) j1850: 68 FF 40 03 D8 | CRC OK
I (1475833) j1850: 29 FE 40 01 64 | CRC OK
I (1476051) j1850: 29 FE 60 01 11 | CRC OK
I (1476057) j1850: 68 FF 60 03 AD | CRC OK
I (1477853) j1850: 68 FF 40 03 D8 | CRC OK
I (1477863) j1850: 29 FE 40 01 64 | CRC OK
I (1478071) j1850: 29 FE 60 01 11 | CRC OK
I (1478077) j1850: 68 FF 60 03 AD | CRC OK
I (1478553) j1850: 48 3B 40 02 29 | CRC OK
I (1479883) j1850: 68 FF 40 03 D8 | CRC OK
I (1479893) j1850: 29 FE 40 01 64 | CRC OK
I (1480086) j1850: 29 FE 60 01 11 | CRC OK
I (1480095) j1850: 68 FF 60 03 AD | CRC OK
