I (1865342) j1850: 29 FE 60 01 11 | CRC OK
I (1865348) j1850: 68 FF 60 03 AD | CRC OK
I (1865574) j1850: 68 FF 40 03 D8 | CRC OK
I (1865584) j1850: 29 FE 40 01 64 | CRC OK
I (1867364) j1850: 29 FE 60 01 11 | CRC OK
I (1867370) j1850: 68 FF 60 03 AD | CRC OK
I (1867604) j1850: 68 FF 40 03 D8 | CRC OK
I (1867614) j1850: 29 FE 40 01 64 | CRC OK
I (1867735) j1850: 48 3B 40 02 29 | CRC OK
I (1869377) j1850: 29 FE 60 01 11 | CRC OK
I (1869388) j1850: 68 FF 60 03 AD | CRC OK
I (1869614) j1850: 48 3B 40 82 0F | CRC OK
I (1869633) j1850: 68 FF 40 03 D8 | CRC OK
I (1869643) j1850: 29 FE 40 01 64 | CRC OK
I (1871393) j1850: 29 FE 60 01 11 | CRC OK
I (1871399) j1850: 68 FF 60 03 AD | CRC OK
I (1871664) j1850: 68 FF 40 03 D8 | CRC OK
I (1871674) j1850: 29 FE 40 01 64 | CRC OK
I (1871979) j1850: 48 3B 40 02 29 | CRC OK
I (1873153) j1850: stats: 3010 frames, 0 bad CRC, 0 overruns, 1011 edges, 3 same-level
I (1873410) j1850: 29 FE 60 01 11 | CRC OK
I (1873416) j1850: 68 FF 60 03 AD | CRC OK
I (1873694) j1850: 68 FF 40 03 D8 | CRC OK
I (1873704) j1850: 29 FE 40 01 64 | CRC OK
I (1874343) j1850: 48 3B 40 82 0F | CRC OK
I (1875427) j1850: 29 FE 60 01 11 | CRC OK
I (1875433) j1850: 68 FF 60 03 AD | CRC OK
I (1875723) j1850: 68 FF 40 03 D8 | CRC OK
I (1875734) j1850: 29 FE 40 01 64 | CRC OK
I (1877256) j1850: 48 3B 40 02 29 | CRC OK
I (1877445) j1850: 29 FE 60 01 11 | CRC OK
I (1877451) j1850: 68 FF 60 03 AD | CRC OK
I (1877753) j1850: 68 FF 40 03 D8 | CRC OK
I (1877763) j1850: 29 FE 40 01 64 | CRC OK
I (1878596) j1850: 48 3B 40 82 0F | CRC OK
I (1879461) j1850: 29 FE 60 01 11 | CRC OK
I (1879470) j1850: 68 FF 60 03 AD | CRC OK
I (1879783) j1850: 68 FF 40 03 D8 | CRC OK
I (1879793) j1850: 29 FE 40 01 64 | CRC OK
I (1880098) j1850: 48 3B 40 02 29 | CRC OK
I (1881478) j1850: 29 FE 60 01 11 | CRC OK
I (1881484) j1850: 68 FF 60 03 AD | CRC OK
I (1881813) j1850: 68 FF 40 03 D8 | CRC OK
I (1881823) j1850: 29 FE 40 01 64 | CRC OK
I (1881833) j1850: 48 3B 40 82 0F | CRC OK
I (1883155) j1850: stats: 3035 frames, 0 bad CRC, 0 overruns, 1050 edges, 0 same-level
I (1883495) j1850: 29 FE 60 01 11 | CRC OK
I (1883501) j1850: 68 FF 60 03 AD | CRC OK
I (1883843) j1850: 68 FF 40 03 D8 | CRC OK
I (1883853) j1850: 29 FE 40 01 64 | CRC OK
I (1883894) j1850: 48 3B 40 02 29 | CRC OK
I (1885513) j1850: 29 FE 60 01 11 | CRC OK
I (1885519) j1850: 68 FF 60 03 AD | CRC OK
I (1885833) j1850: 48 3B 40 82 0F | CRC OK
I (1885873) j1850: 68 FF 40 03 D8 | CRC OK
I (1885883) j1850: 29 FE 40 01 64 | CRC OK
I (1887102) j1850: 48 3B 40 A0 B2 | CRC OK
I (1887535) j1850: 29 FE 60 01 11 | CRC OK
I (1887541) j1850: 68 FF 60 03 AD | CRC OK
I (1887903) j1850: 68 FF 40 03 D8 | CRC OK
I (1887913) j1850: 29 FE 40 01 64 | CRC OK
I (1888076) j1850: 48 3B 40 02 29 | CRC OK
I (1889547) j1850: 29 FE 60 01 11 | CRC OK
I (1889560) j1850: 68 FF 60 03 AD | CRC OK
I (1889933) j1850: 68 FF 40 03 D8 | CRC OK
I (1889943) j1850: 29 FE 40 01 64 | CRC OK
I (1890035) j1850: 48 3B 40 82 0F | CRC OK
I (1891563) j1850: 29 FE 60 01 11 | CRC OK
I (1891569) j1850: 68 FF 60 03 AD | CRC OK
I (1891922) j1850: 48 3B 40 20 94 | CRC OK
I (1891963) j1850: 68 FF 40 03 D8 | CRC OK
I (1891973) j1850: 29 FE 40 01 64 | CRC OK
I (1892592) j1850: 48 3B 40 02 29 | CRC OK
I (1893156) j1850: stats: 3062 frames, 0 bad CRC, 0 overruns, 1134 edges, 0 same-level
I (1893580) j1850: 29 FE 60 01 11 | CRC OK
I (1893586) j1850: 68 FF 60 03 AD | CRC OK
I (1893993) j1850: 68 FF 40 03 D8 | CRC OK
I (1894003) j1850: 29 FE 40 01 64 | CRC OK
