I (836388) j1850: 68 FF 40 03 D8 | CRC OK
I (836398) j1850: 29 FE 40 01 64 | CRC OK
I (836637) j1850: 29 FE 60 01 11 | CRC OK
I (836643) j1850: 68 FF 60 03 AD | CRC OK
I (838418) j1850: 68 FF 40 03 D8 | CRC OK
I (838428) j1850: 29 FE 40 01 64 | CRC OK
I (838656) j1850: 29 FE 60 01 11 | CRC OK
I (838662) j1850: 68 FF 60 03 AD | CRC OK
I (840448) j1850: 68 FF 40 03 D8 | CRC OK
I (840458) j1850: 29 FE 40 01 64 | CRC OK
I (840672) j1850: 29 FE 60 01 11 | CRC OK
I (840680) j1850: 68 FF 60 03 AD | CRC OK
I (842478) j1850: 68 FF 40 03 D8 | CRC OK
I (842488) j1850: 29 FE 40 01 64 | CRC OK
I (842688) j1850: 29 FE 60 01 11 | CRC OK
I (842694) j1850: 68 FF 60 03 AD | CRC OK
I (843008) j1850: stats: 958 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (844508) j1850: 68 FF 40 03 D8 | CRC OK
I (844518) j1850: 29 FE 40 01 64 | CRC OK
I (844705) j1850: 29 FE 60 01 11 | CRC OK
I (844711) j1850: 68 FF 60 03 AD | CRC OK
I (846538) j1850: 68 FF 40 03 D8 | CRC OK
I (846548) j1850: 29 FE 40 01 64 | CRC OK
I (846722) j1850: 29 FE 60 01 11 | CRC OK
I (846728) j1850: 68 FF 60 03 AD | CRC OK
I (847887) j1850: 48 3B 40 82 0F | CRC OK
I (848476) j1850: 48 3B 40 20 94 | CRC OK
I (848568) j1850: 68 FF 40 03 D8 | CRC OK
I (848578) j1850: 29 FE 40 01 64 | CRC OK
I (848746) j1850: 29 FE 60 01 11 | CRC OK
I (848752) j1850: 68 FF 60 03 AD | CRC OK
I (849643) j1850: 48 3B 40 02 29 | CRC OK
I (850597) j1850: 68 FF 40 03 D8 | CRC OK
I (850607) j1850: 29 FE 40 01 64 | CRC OK
I (850757) j1850: 29 FE 60 01 11 | CRC OK
I (850770) j1850: 68 FF 60 03 AD | CRC OK
I (852627) j1850: 68 FF 40 03 D8 | CRC OK
I (852637) j1850: 29 FE 40 01 64 | CRC OK
I (852774) j1850: 29 FE 60 01 11 | CRC OK
I (852780) j1850: 68 FF 60 03 AD | CRC OK
I (853010) j1850: stats: 981 frames, 0 bad CRC, 0 overruns, 966 edges, 0 same-level
I (854657) j1850: 68 FF 40 03 D8 | CRC OK
I (854667) j1850: 29 FE 40 01 64 | CRC OK
I (854791) j1850: 29 FE 60 01 11 | CRC OK
I (854797) j1850: 68 FF 60 03 AD | CRC OK
I (856687) j1850: 68 FF 40 03 D8 | CRC OK
I (856697) j1850: 29 FE 40 01 64 | CRC OK
I (856808) j1850: 29 FE 60 01 11 | CRC OK
I (856814) j1850: 68 FF 60 03 AD | CRC OK
I (858717) j1850: 68 FF 40 03 D8 | CRC OK
I (858727) j1850: 29 FE 40 01 64 | CRC OK
I (858828) j1850: 29 FE 60 01 11 | CRC OK
I (858834) j1850: 68 FF 60 03 AD | CRC OK
I (860747) j1850: 68 FF 40 03 D8 | CRC OK
I (860757) j1850: 29 FE 40 01 64 | CRC OK
I (860843) j1850: 29 FE 60 01 11 | CRC OK
I (860852) j1850: 68 FF 60 03 AD | CRC OK
I (862777) j1850: 68 FF 40 03 D8 | CRC OK
I (862787) j1850: 29 FE 40 01 64 | CRC OK
I (862860) j1850: 29 FE 60 01 11 | CRC OK
I (862866) j1850: 68 FF 60 03 AD | CRC OK
I (863010) j1850: stats: 1001 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (864807) j1850: 68 FF 40 03 D8 | CRC OK
I (864817) j1850: 29 FE 40 01 64 | CRC OK
I (864876) j1850: 29 FE 60 01 11 | CRC OK
I (864882) j1850: 68 FF 60 03 AD | CRC OK
