I (682985) j1850: stats: 522 frames, 0 bad CRC, 0 overruns, 840 edges, 0 same-level
I (683335) j1850: 29 FE 60 01 11 | CRC OK
I (683341) j1850: 68 FF 60 03 AD | CRC OK
I (684140) j1850: 68 FF 40 03 D8 | CRC OK
I (684150) j1850: 29 FE 40 01 64 | CRC OK
I (685034) j1850: 48 DA 40 39 02 4A | CRC OK
I (685352) j1850: 29 FE 60 01 11 | CRC OK
I (685358) j1850: 68 FF 60 03 AD | CRC OK
I (685369) j1850: 48 DA 40 39 00 70 | CRC OK
I (685704) j1850: 48 DA 40 39 02 4A | CRC OK
I (686038) j1850: 48 DA 40 39 00 70 | CRC OK
I (686170) j1850: 68 FF 40 03 D8 | CRC OK
I (686180) j1850: 29 FE 40 01 64 | CRC OK
I (686374) j1850: 48 DA 40 39 02 4A | CRC OK
I (686709) j1850: 48 DA 40 39 00 70 | CRC OK
I (687043) j1850: 48 DA 40 39 02 4A | CRC OK
I (687371) j1850: 29 FE 60 01 11 | CRC OK
I (687375) j1850: 68 FF 60 03 AD | CRC OK
I (687382) j1850: 48 DA 40 39 00 70 | CRC OK
I (687390) j1850: 48 DA 40 39 00 70 | CRC OK
I (687714) j1850: 48 DA 40 39 02 4A | CRC OK
I (688048) j1850: 48 DA 40 39 00 70 | CRC OK
I (688200) j1850: 68 FF 40 03 D8 | CRC OK
I (688210) j1850: 29 FE 40 01 64 | CRC OK
I (688383) j1850: 48 DA 40 39 02 4A | CRC OK
I (688718) j1850: 48 DA 40 39 00 70 | CRC OK
I (689053) j1850: 48 DA 40 39 02 4A | CRC OK
I (689388) j1850: 48 DA 40 39 00 70 | CRC OK
I (689395) j1850: 29 FE 60 01 11 | CRC OK
I (689401) j1850: 68 FF 60 03 AD | CRC OK
I (689723) j1850: 48 DA 40 39 02 4A | CRC OK
I (690058) j1850: 48 DA 40 39 00 70 | CRC OK
I (690230) j1850: 68 FF 40 03 D8 | CRC OK
I (690240) j1850: 29 FE 40 01 64 | CRC OK
I (690393) j1850: 48 DA 40 39 02 4A | CRC OK
I (690728) j1850: 48 DA 40 39 00 70 | CRC OK
I (691063) j1850: 48 DA 40 39 02 4A | CRC OK
I (691398) j1850: 48 DA 40 39 00 70 | CRC OK
I (691404) j1850: 29 FE 60 01 11 | CRC OK
I (691410) j1850: 68 FF 60 03 AD | CRC OK
I (691733) j1850: 48 DA 40 39 02 4A | CRC OK
I (692068) j1850: 48 DA 40 39 00 70 | CRC OK
I (692259) j1850: 68 FF 40 03 D8 | CRC OK
I (692269) j1850: 29 FE 40 01 64 | CRC OK
I (692403) j1850: 48 DA 40 39 02 4A | CRC OK
I (692737) j1850: 48 DA 40 39 00 70 | CRC OK
I (692985) j1850: stats: 567 frames, 0 bad CRC, 0 overruns, 2090 edges, 0 same-level
I (693072) j1850: 48 DA 40 39 02 4A | CRC OK
I (693408) j1850: 48 DA 40 39 00 70 | CRC OK
I (693421) j1850: 29 FE 60 01 11 | CRC OK
I (693427) j1850: 68 FF 60 03 AD | CRC OK
I (693743) j1850: 48 DA 40 39 02 4A | CRC OK
I (694077) j1850: 48 DA 40 39 00 70 | CRC OK
I (694290) j1850: 68 FF 40 03 D8 | CRC OK
I (694300) j1850: 29 FE 40 01 64 | CRC OK
I (694413) j1850: 48 DA 40 39 02 4A | CRC OK
I (694747) j1850: 48 DA 40 39 00 70 | CRC OK
I (695083) j1850: 48 DA 40 39 02 4A | CRC OK
I (695417) j1850: 48 DA 40 39 00 70 | CRC OK
I (695439) j1850: 29 FE 60 01 11 | CRC OK
I (695445) j1850: 68 FF 60 03 AD | CRC OK
I (695752) j1850: 48 DA 40 39 02 4A | CRC OK
I (696087) j1850: 48 DA 40 39 00 70 | CRC OK
I (696320) j1850: 68 FF 40 03 D8 | CRC OK
I (696330) j1850: 29 FE 40 01 64 | CRC OK
I (696422) j1850: 48 DA 40 39 02 4A | CRC OK
I (696757) j1850: 48 DA 40 39 00 70 | CRC OK
I (697092) j1850: 48 DA 40 39 02 4A | CRC OK
I (697427) j1850: 48 DA 40 39 00 70 | CRC OK
I (697455) j1850: 29 FE 60 01 11 | CRC OK
I (697461) j1850: 68 FF 60 03 AD | CRC OK
I (697762) j1850: 48 DA 40 39 02 4A | CRC OK
I (698097) j1850: 48 DA 40 39 00 70 | CRC OK
I (698350) j1850: 68 FF 40 03 D8 | CRC OK
I (698360) j1850: 29 FE 40 01 64 | CRC OK
I (698432) j1850: 48 DA 40 39 02 4A | CRC OK
I (698767) j1850: 48 DA 40 39 00 70 | CRC OK
I (699102) j1850: 48 DA 40 39 02 4A | CRC OK
I (699436) j1850: 48 DA 40 39 00 70 | CRC OK
I (699475) j1850: 29 FE 60 01 11 | CRC OK
I (699481) j1850: 68 FF 60 03 AD | CRC OK
I (699772) j1850: 48 DA 40 39 02 4A | CRC OK
I (700107) j1850: 48 DA 40 39 00 70 | CRC OK
I (700380) j1850: 68 FF 40 03 D8 | CRC OK
I (700390) j1850: 29 FE 40 01 64 | CRC OK
I (700442) j1850: 48 DA 40 39 02 4A | CRC OK
I (700776) j1850: 48 DA 40 39 00 70 | CRC OK
I (701112) j1850: 48 DA 40 39 02 4A | CRC OK
I (701446) j1850: 48 DA 40 39 00 70 | CRC OK
I (701489) j1850: 29 FE 60 01 11 | CRC OK
I (701495) j1850: 68 FF 60 03 AD | CRC OK
I (701782) j1850: 48 DA 40 39 02 4A | CRC OK
I (702116) j1850: 48 DA 40 39 00 70 | CRC OK
I (702410) j1850: 68 FF 40 03 D8 | CRC OK
I (702420) j1850: 29 FE 40 01 64 | CRC OK
I (702451) j1850: 48 DA 40 39 02 4A | CRC OK
I (702786) j1850: 48 DA 40 39 00 70 | CRC OK
I (702986) j1850: stats: 617 frames, 0 bad CRC, 0 overruns, 2340 edges, 0 same-level
I (703121) j1850: 48 DA 40 39 02 4A | CRC OK
I (703456) j1850: 48 DA 40 39 00 70 | CRC OK
I (703506) j1850: 29 FE 60 01 11 | CRC OK
I (703512) j1850: 68 FF 60 03 AD | CRC OK
I (703791) j1850: 48 DA 40 39 02 4A | CRC OK
I (704126) j1850: 48 DA 40 39 00 70 | CRC OK
I (704440) j1850: 68 FF 40 03 D8 | CRC OK
I (704450) j1850: 29 FE 40 01 64 | CRC OK
I (704461) j1850: 48 DA 40 39 02 4A | CRC OK
I (704795) j1850: 48 DA 40 39 00 70 | CRC OK
I (705131) j1850: 48 DA 40 39 02 4A | CRC OK
I (705466) j1850: 48 DA 40 39 00 70 | CRC OK
I (705523) j1850: 29 FE 60 01 11 | CRC OK
I (705529) j1850: 68 FF 60 03 AD | CRC OK
I (705801) j1850: 48 DA 40 39 02 4A | CRC OK
I (706044) j1850: 48 DA 40 39 01 6D | CRC OK
I (706379) j1850: 48 DA 40 39 00 70 | CRC OK
I (706470) j1850: 68 FF 40 03 D8 | CRC OK
I (706480) j1850: 29 FE 40 01 64 | CRC OK
I (706714) j1850: 48 DA 40 39 01 6D | CRC OK
I (707049) j1850: 48 DA 40 39 00 70 | CRC OK
I (707384) j1850: 48 DA 40 39 01 6D | CRC OK
I (707544) j1850: 29 FE 60 01 11 | CRC OK
I (707550) j1850: 68 FF 60 03 AD | CRC OK
I (707719) j1850: 48 DA 40 39 00 70 | CRC OK
I (708054) j1850: 48 DA 40 39 01 6D | CRC OK
I (708389) j1850: 48 DA 40 39 00 70 | CRC OK
I (708500) j1850: 68 FF 40 03 D8 | CRC OK
I (708510) j1850: 29 FE 40 01 64 | CRC OK
I (708724) j1850: 48 DA 40 39 01 6D | CRC OK
I (709059) j1850: 48 DA 40 39 00 70 | CRC OK
I (709394) j1850: 48 DA 40 39 01 6D | CRC OK
I (709566) j1850: 29 FE 60 01 11 | CRC OK
I (709572) j1850: 68 FF 60 03 AD | CRC OK
I (709729) j1850: 48 DA 40 39 00 70 | CRC OK
I (710064) j1850: 48 DA 40 39 01 6D | CRC OK
I (710399) j1850: 48 DA 40 39 00 70 | CRC OK
I (710530) j1850: 68 FF 40 03 D8 | CRC OK
I (710540) j1850: 29 FE 40 01 64 | CRC OK
I (710734) j1850: 48 DA 40 39 01 6D | CRC OK
I (711069) j1850: 48 DA 40 39 00 70 | CRC OK
I (711403) j1850: 48 DA 40 39 01 6D | CRC OK
I (711574) j1850: 29 FE 60 01 11 | CRC OK
I (711580) j1850: 68 FF 60 03 AD | CRC OK
I (711738) j1850: 48 DA 40 39 00 70 | CRC OK
I (712073) j1850: 48 DA 40 39 01 6D | CRC OK
I (712408) j1850: 48 DA 40 39 00 70 | CRC OK
I (712560) j1850: 68 FF 40 03 D8 | CRC OK
