I (26573) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26621) j1850: A8 3B 10 03 00 00 | CRC OK
I (26621) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (26638) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26704) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26768) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26775) j1850: 48 92 40 2A 00 00 1E | CRC OK
I (26795) j1850: 68 93 60 2A 00 00 16 | CRC OK
I (26835) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26867) j1850: 68 FF 40 03 D8 | CRC OK
I (26900) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (26966) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27021) j1850: 68 FF 60 03 AD | CRC OK
I (27031) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27097) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27113) j1850: A8 3B 10 03 00 00 | CRC OK
I (27113) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (27163) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27169) j1850: 68 88 10 83 62 | CRC OK
I (27173) j1850: 29 FE 40 01 64 | CRC OK
I (27179) j1850: C8 88 10 0E BA | CRC OK
I (27186) j1850: 28 FF 10 01 07 07 | CRC OK
I (27193) j1850: C8 89 60 83 B9 | CRC OK
I (27199) j1850: E8 89 60 0E 54 | CRC OK
I (27228) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27294) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27329) j1850: 29 FE 60 01 11 | CRC OK
I (27342) j1850: 28 FF 10 01 07 07 | CRC OK
I (27350) j1850: 68 FF 40 03 D8 | CRC OK
I (27359) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27425) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27490) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27514) j1850: 68 FF 60 03 AD | CRC OK
I (27556) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27604) j1850: A8 3B 10 03 00 00 | CRC OK
I (27604) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (27621) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27687) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27752) j1850: 28 1B 10 02 00 00 D5 | CRC OK
I (27818) j1850: 28 1B 10 02 00 00 D5 | CRC OK
